city_id,x,y,reward
1,33613.1588,86118.3061,82
2,33100.954,85529.6753,15
3,31571.8352,85250.4893,4
4,32070.4299,85687.7257,95
5,33290.3926,87198.053,36
6,33356.2217,86806.9333,32
7,32105.4238,86276.3547,29
8,32609.0206,86311.0828,18
9,33883.9885,86644.7135,95
10,32121.5366,87906.1227,14
11,32876.5165,87742.5105,87
12,34022.3194,86045.5285,95
13,31126.2925,85072.4294,70
14,31277.9473,86125.7796,12
15,34267.5937,86208.8669,76
16,33638.9941,86965.2734,55
17,33707.0527,87241.9462,5
18,32944.012,85953.8532,4
19,34178.984,85512.1818,12
20,33129.5681,88151.4166,28
21,31936.8156,87053.318,30
22,30702.9675,88078.8886,65
23,32490.969,87660.8407,78
24,32480.9714,85562.1727,4
25,34694.2587,88110.3182,72
26,33114.563,86879.1562,26
27,33348.722,86238.5859,92
28,33579.2704,86637.487,84
29,34026.2082,86326.0923,90
30,33737.886,87252.5024,70
31,34071.2081,85921.359,54
32,32052.9256,87570.8342,29
33,31886.2644,86115.7906,58
34,31385.7228,86383.0123,76
35,31759.0481,85889.1149,36
36,34230.6496,85638.0189,1
37,31221.0066,87121.3622,98
38,34830.3643,87485.3023,21
39,31968.2064,88146.6822,90
40,31141.5693,85151.3196,55
41,31175.7331,85360.2108,44
42,34992.0292,86846.9471,36
43,33801.4945,87116.9459,20
44,33905.1027,86962.5006,28
45,33882.0433,86524.7095,98
46,32239.5907,85657.7274,44
47,31511.8345,85545.2156,14
48,34620.9198,86165.5374,12
49,34802.8661,86971.6741,49
50,31023.7921,87493.8708,13
51,34360.6537,87995.0366,46
52,32434.0249,86654.7019,45
53,33343.1705,85478.0085,78
54,31621.548,86701.3606,34
55,31189.3444,85286.0437,6
56,33521.7717,86778.045,94
57,31837.93,86948.8708,59
58,30929.9052,88027.2209,69
59,31279.6139,86325.5085,16
60,33755.6599,87001.665,49
61,34895.6408,87571.4145,11
62,34262.3179,86612.7712,71
63,34163.7082,86659.7169,38
64,31163.7872,85635.4893,81
65,34189.266,86916.9483,80
66,31417.6722,85227.4324,47
67,34058.7093,85808.0229,74
68,33776.775,87301.1153,25
69,31815.1585,85843.0034,91
70,32299.5852,86196.3537,9
71,33361.2239,85715.7931,6
72,31467.9494,85118.8189,85
73,33716.2181,87158.6115,30
74,30424.9194,87879.4366,99
75,31192.1208,85420.7668,38
76,34738.701,87891.1457,11
77,31659.6042,88234.7338,30
78,31971.2631,87861.3968,13
79,31341.5568,86130.7808,49
80,31261.0051,85889.9382,36
81,34952.8584,85708.3041,59
82,30882.9628,87773.0474,82
83,33558.7173,86973.6057,47
84,30403.516,88248.522,21
85,34556.4818,86967.5079,48
86,33894.5496,87700.0188,46
87,31519.0565,85586.0493,27
88,31733.4888,87204.7083,86
89,33194.5672,88198.086,35
90,33931.2162,88020.3075,90
91,31256.2831,86584.6812,88
92,32125.9773,86656.0885,83
93,30603.8033,87852.4923,10
94,33647.611,87931.4109,78
95,32206.2524,87013.8759,82
96,34823.9786,86473.8788,22
97,32449.0275,88133.6339,69
98,30493.5286,88103.6099,94
99,34711.1945,85945.2556,32
100,31429.8882,87109.144,21
101,31173.2308,85793.2681,60
102,32558.747,87942.5161,49
103,33109.2894,87965.019,35
104,33753.9955,87157.2232,82
105,32306.8054,86817.7608,89
106,34639.8122,86429.1543,72
107,31487.386,87188.3141,29
108,33659.8332,87600.0098,88
109,31541.2791,85427.9922,42
110,31700.7123,86914.1457,99
111,34194.5444,86982.784,100
112,34933.1419,86819.7239,8
113,31628.2207,85681.8855,30
114,32053.4806,86343.5787,5
115,31229.0591,86232.4493,41
116,32711.2439,85182.1624,52
117,34190.9357,88147.2612,35
118,31068.5135,85433.8222,9
119,34194.2618,85694.9648,28
120,34245.0962,86646.6614,73
121,31009.3468,85744.3772,92
122,33948.1567,86859.9989,41
123,34451.7574,86402.7638,28
124,34791.7549,87054.4551,84
125,34930.9181,87646.1377,64
126,31387.3937,85408.2681,51
127,31730.7135,88197.5111,83
128,31264.0579,86223.283,59
129,34363.4232,85609.9634,19
130,32734.5767,85133.8277,34
131,33630.6607,86946.6618,18
132,33931.2115,86794.1636,32
133,34081.4863,86591.1027,96
134,33946.7654,86585.8235,72
135,34126.4856,86542.7678,69
136,31984.877,85716.8917,34
137,33820.6623,87906.4128,96
138,32594.0245,88115.578,75
139,34200.6503,86166.3655,55
140,33877.3274,87822.5225,75
141,33853.995,87182.7818,52
142,33643.1675,87510.0061,47
143,32755.9654,88028.9072,29
144,31778.4899,88331.129,18
145,31725.4334,86705.8078,66
146,33263.7246,86335.5323,64
147,33542.6068,87007.2173,12
148,32500.4124,86571.9223,97
149,32306.5342,85441.6119,7
150,32619.5797,88304.197,15
151,33752.0454,86703.8799,20
152,31901.8184,86242.1847,81
153,32050.4236,86795.5363,21
154,32429.025,86946.6546,88
155,31496.5526,87119.1458,55
156,32399.5828,86040.2387,77
157,32399.0269,86184.6879,9
158,33994.5465,86970.0027,50
159,32516.5261,88091.9659,49
160,31959.0403,86129.9589,77
161,34094.5406,85971.9158,60
162,34670.3683,87244.1854,68
163,34025.3797,87758.3574,33
164,31262.6708,86771.0749,71
165,31312.9461,86171.0596,2
166,34225.9295,86615.2711,88
167,31481.8306,86684.9677,93
168,33637.8825,86916.6612,15
169,34162.0404,86475.5431,88
170,34500.9267,86855.0033,69
171,33255.6719,87320.8336,97
172,34360.6453,85521.6276,35
173,34932.8648,86713.6094,99
174,31427.6721,85200.7652,83
175,34749.2568,86443.044,44
176,32602.0793,87931.1267,15
177,34602.8626,85830.5284,38
178,31468.4979,86900.5282,56
179,33392.6155,87753.3462,21
180,31668.4909,86670.5278,59
181,34028.7133,87007.5043,1
182,33699.55,87047.776,93
183,34943.6904,85632.19,93
184,32520.9689,85863.5692,34
185,32946.2361,85401.8929,65
186,33257.0623,87752.7902,98
187,33416.5011,87258.3323,23
188,31217.9545,88390.57,65
189,33344.8364,87298.6109,14
190,34518.7046,86938.6179,81
191,33979.5426,85951.637,39
192,31553.4949,87160.2592,82
193,34450.9303,88022.8164,65
194,34569.2596,87140.0148,78
195,32316.8056,87101.3793,26
196,33354.833,86826.1004,20
197,34870.6418,87144.4583,48
198,33426.4967,86431.6473,98
199,31890.4283,87087.485,21
200,32050.1467,86544.9739,70
201,32225.4227,87793.0658,100
202,31155.1748,88009.9997,68
203,31990.9813,87290.5456,1
204,33795.9411,87271.6709,77
205,32800.4059,85653.5659,42
206,31923.4868,87981.1207,63
207,32892.6248,86846.6546,3
208,33836.4933,87055.2789,15
209,32204.8652,86303.5784,47
210,31026.292,87411.9237,40
211,32323.4726,86455.8062,31
212,31497.1141,85311.8787,8
213,34773.1456,86792.7781,31
214,33645.6604,86933.6061,73
215,34128.9845,86120.2531,11
216,32087.0889,87034.1526,11
217,31343.224,87845.5522,94
218,34809.2498,85974.1462,63
219,31541.5519,88236.3999,9
220,32549.8569,85869.9585,98
221,31472.3869,87941.389,69
222,34947.8646,86695.8311,99
223,34872.3085,87064.7329,17
224,32580.4117,87683.8974,17
225,31299.0599,87022.4721,85
226,31879.6012,85833.0041,61
227,32184.5875,87469.443,71
228,32302.6416,86008.5694,22
229,31351.8343,86328.8432,34
230,34856.753,87214.7389,68
231,34705.6458,87753.0869,78
232,33863.9887,86654.4357,55
233,33851.4972,87446.6759,28
234,31778.7658,86367.4655,70
235,34038.1553,86810.8323,97
236,34321.2066,86723.0533,94
237,34089.5427,86724.7189,89
238,34955.6392,87448.3558,26
239,31788.4902,88030.0078,92
240,31815.987,86412.4676,40
241,34276.2094,86929.4497,52
242,32682.3521,86097.4659,86
243,34666.1946,85790.5282,84
244,33653.158,86647.7659,48
245,34565.093,87226.6849,57
246,31748.7649,87531.9378,67
247,31181.5634,85877.1592,58
